character_details_id,first_appearance,based_on,adapted_by,portrayed_by,voiced_by,alias,title,occupation,affiliation,weapon,significant_others,nationality,char_name,full_name,aliases,nicknames,origin,family,spouse,children,nickname,relatives,last_appearance,created_by,species,significant_other,motion_capture_by,publisher,alter_ego,team_affiliations,notable_aliases,abilities,position,partnerships,place_of_origin,supporting_character_of,home,schedule,format,genre,publication_date,number_of_issues,writer,penciller,creators,gender,written_by,inker,colorist,editor
1,"The Incredible Hulk (2008)","Hulkby Stan LeeJack Kirby","Zak Penn","
Edward Norton (2008; The Incredible Hulk)
Mark Ruffalo (2012–present)
","Lou Ferrigno (2008–2017)","
Hulk
Mr. Green
","
Doctor
Champion of Sakaar
","
Avenger
Gladiator
Biochemist
Nuclear physicist
Professor
Consultant for S.H.I.E.L.D.
","
Avengers
Culver University
Revengers
S.H.I.E.L.D.
","
Hulkbuster armor
Nano Gauntlet
","
Betty Ross[a]
Natasha Romanoff[b]
",American,"Bruce Banner",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,"Captain America:  The First Avenger (2011)","Bucky Barnesby Joe SimonJack Kirby","Christopher MarkusStephen McFeely","Sebastian Stan",NULL,NULL,"Sergeant (U.S. Army)","
Assassin
Soldier
","
Hydra
Soviet Union
Howling Commandos
Strategic Scientific Reserve
United States Army
","
Metal prosthetic arms[1]
Captain America's shield
Various firearms
Grenade launcher
",NULL,American,"Bucky Barnes","James Buchanan Bucky Barnes","
Winter Soldier
White Wolf
","
Bucky
Buck
","Brooklyn, New York, United States",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,"Thor (2011)","Hawkeyeby Stan LeeDon Heck","
J. Michael Straczynski
Mark Protosevich
Ashley Miller
Zack Stentz
Don Payne
","Jeremy Renner",NULL,"
Hawkeye
Ronin
",NULL,"
Avenger
Vigilante
Agent of S.H.I.E.L.D.
","
Avengers
S.H.I.E.L.D.
S.T.R.I.K.E.[1]
","
Bow and quiver; Compound and Recurve bows[2]
Wristbow
Retractable katana[3] (as Ronin)
Shuriken (as Ronin)
Combat knives
Collapsible baton
Various trick arrows
Various firearms
",NULL,American,"Clint Barton","Clinton Francis Barton",NULL,NULL,NULL,"Edith Barton (mother)","Laura Barton","
Cooper Barton
Lila Barton
Nathaniel Barton
",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,"Captain America: The First Avenger (2011)","Peggy Carterby Stan LeeJack Kirby","Christopher MarkusStephen McFeely","
Hayley Atwell
Gabriella Graves (young)
",NULL,NULL,NULL,"
Special agent
Director of S.H.I.E.L.D.
","
S.H.I.E.L.D.
Strategic Scientific Reserve
MI6
",NULL,"
Fred Wells (ex-fiancé)
Daniel Sousa (ex-boyfriend)
Jason Wilkes (ex-boyfriend)
",British,"Peggy Carter","Margaret Carter",NULL,NULL,NULL,"
Amanda Carter (mother)
Michael Carter (brother)
","Steve Rogers[a]",2,Peggy,"Sharon Carter (niece)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,"Iron Man (2008)",NULL,NULL,"Clark Gregg",NULL,NULL,NULL,"S.H.I.E.L.D. agentS.H.I.E.L.D. director",S.H.I.E.L.D.,NULL,"Audrey NathanRosalind PriceMelinda May",American,"Phil Coulson","Phillip J. Coulson[1]",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"What If... Thor Were an Only Child? (2021)","Mark FergusHawk OstbyArt MarcumMatt Holloway","
Human
Life Model Decoy
",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,"Captain Marvel (2019)","Carol Danversby Roy ThomasGene Colan","
Anna Boden
Ryan Fleck
Geneva Robertson-Dworet
Nicole Perlman
Meg LeFauve
","
Brie Larson
Mckenna Grace (13 years old)
London Fuller (6 years old)
","Alexandra Daniels (What If...?)[1]",NULL,Captain,"
Avenger[b]
Starforce warrior
Fighter pilot
","
Avengers
Skrulls
Kree Empire
Starforce
United States Air Force
",NULL,NULL,NULL,"Carol Danvers",NULL,"
Captain Marvel
Vers
Avenger[a]
",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Human–Kree hybrid",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,"Guardians of the Galaxy (2014)","Drax the Destroyerby Jim Starlin","
James Gunn
Nicole Perlman
","Dave Bautista","Fred Tatasciore (What If...?)[1]","Drax the Destroyer",NULL,NULL,"Guardians of the Galaxy","
Dual knives
Various weapons including the Hadron Enforcer[2]
",NULL,NULL,Drax,Drax,NULL,NULL,NULL,NULL,Hovat,"Kamaria (daughter)",NULL,NULL,NULL,NULL,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,"Iron Man (2008)","
Nick Furyby Stan Lee    Jack Kirby
Ultimate Nick Furyby Brian Michael Bendis    Mike Allred
","
Mark FergusHawk Ostby
Art MarcumMatt Holloway
","Samuel L. Jackson",NULL,NULL,"
Director
Colonel (U.S. Army)
","
Director of S.H.I.E.L.D.
Agent of S.H.I.E.L.D.
CIA agent
Soldier
","
Avengers
Central Intelligence Agency
S.H.I.E.L.D.
Skrulls
United States Army
",NULL,NULL,American,"Nick Fury","Nicholas Joseph Fury",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,"Guardians of the Galaxy (2014)","Gamoraby Jim Starlin","
James Gunn
Nicole Perlman
","
Zoe Saldaña
Ariana Greenblatt (young)
","Cynthia McWilliams (What If...?)[1]",NULL,NULL,"
Guardian
Assassin
Warlord (What If...?)
","
Guardians of the Galaxy
Children of Thanos
Guardians of the Multiverse (What If...?)[3]
","
Godslayer sword[4]
Bejeweled knife
Various firearms and bladed weapons
Double-edged blade (What If...?)
",NULL,NULL,Gamora,Gamora,NULL,NULL,NULL,"
Thanos (adoptive father)
Nebula (adoptive sister)
Corvus Glaive (adoptive brother)
Cull Obsidian (adoptive brother)
Ebony Maw (adoptive brother)
Proxima Midnight (adoptive sister)
",NULL,NULL,"Fiercest Woman in the Galaxy",NULL,NULL,NULL,Zehoberi[2],"Peter Quill[a]",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,"Guardians of the Galaxy (2014)","Grootby Stan LeeLarry LieberJack Kirby","
James Gunn
Nicole Perlman
",NULL,"Vin Diesel","Baby Groot",NULL,"
Guardian of the Galaxy
Bounty hunter (Adult Groot)
","Guardians of the Galaxy",NULL,NULL,NULL,Groot,NULL,NULL,"
Tree
Twig
",NULL,"Rocket (adoptive father; Young Groot)",NULL,NULL,NULL,NULL,NULL,NULL,"Flora colossus",NULL,"Vin DieselKrystian GodlewskiSean GunnJames GunnTerry Notary",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
